Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,78.15672483577733,3.201
TC01,100,STANDARD,100,78.25625373233362,3.204
TC01,100,STANDARD,100,78.38895892774202,3.207
TC01,100,STANDARD,100,78.52498175303563,3.21
TC01,100,STANDARD,100,78.66432220821446,3.213
TC01,100,STANDARD,100,78.76385110477075,3.215
TC01,100,STANDARD,100,78.90982681972,3.218
TC01,100,STANDARD,100,79.05580253466923,3.221
TC01,100,STANDARD,100,79.12879039214386,3.222
TC01,100,STANDARD,100,79.25817795766704,3.225
TC01,100,STANDARD,100,79.42737708181275,3.228
TC01,100,STANDARD,100,79.5401764979099,3.231
TC01,100,STANDARD,100,79.64965828412183,3.234
TC01,100,STANDARD,100,79.78568110941544,3.237
TC01,100,STANDARD,100,79.9117510450534,3.24
TC01,100,STANDARD,100,80.01791520138013,3.243
TC01,100,STANDARD,100,80.13071461747728,3.247
TC01,100,STANDARD,100,80.25014929334483,3.25
TC01,100,STANDARD,100,80.39280737840886,3.254
TC01,100,STANDARD,100,80.51224205427643,3.258
TC01,100,STANDARD,100,80.63167673014398,3.262
TC01,100,STANDARD,100,80.75442903589675,3.265
TC01,100,STANDARD,100,80.87718134164953,3.269
TC01,100,STANDARD,100,81.01320416694314,3.273
TC01,100,STANDARD,100,81.12600358304027,3.278
TC01,100,STANDARD,100,81.25539114856346,3.282
TC01,100,STANDARD,100,81.3980492336275,3.287
TC01,100,STANDARD,100,81.51084864972464,3.291
TC01,100,STANDARD,100,81.64687147501824,3.296
TC01,100,STANDARD,100,81.75303563134497,3.301
TC01,100,STANDARD,100,81.87578793709774,3.307
TC01,100,STANDARD,100,82.01844602216177,3.313
TC01,100,STANDARD,100,82.13788069802933,3.319
TC01,100,STANDARD,100,82.25399774401168,3.327
TC01,100,STANDARD,100,82.39002056930529,3.333
TC01,100,STANDARD,100,82.50281998540243,3.339
TC01,100,STANDARD,100,82.63220755092561,3.346
TC01,100,STANDARD,100,82.75495985667838,3.352
TC01,100,STANDARD,100,82.89430031185721,3.36
TC01,100,STANDARD,100,83.00709972795435,3.367
TC01,100,STANDARD,100,83.13316966359233,3.375
TC01,100,STANDARD,100,83.2526043394599,3.385
TC01,100,STANDARD,100,83.37535664521266,3.395
TC01,100,STANDARD,100,83.51801473027669,3.404
TC01,100,STANDARD,100,83.63413177625904,3.413
TC01,100,STANDARD,100,83.76683697166744,3.421
TC01,100,STANDARD,100,83.87631875787937,3.429
TC01,100,STANDARD,100,84.00570632340256,3.439
TC01,100,STANDARD,100,84.12845862915533,3.449
TC01,100,STANDARD,100,84.25452856479332,3.461
TC01,100,STANDARD,100,84.3839161303165,3.47
TC01,100,STANDARD,100,84.50003317629886,3.484
TC01,100,STANDARD,100,84.63605600159246,3.496
TC01,100,STANDARD,100,84.75217304757481,3.507
TC01,100,STANDARD,100,84.881560613098,3.519
TC01,100,STANDARD,100,85.00099528896557,3.53
TC01,100,STANDARD,100,85.13701811425918,3.541
TC01,100,STANDARD,100,85.26308804989715,3.552
TC01,100,STANDARD,100,85.3792050958795,3.559
TC01,100,STANDARD,100,85.50859266140269,3.568
TC01,100,STANDARD,100,85.63798022692589,3.577
TC01,100,STANDARD,100,85.75741490279344,3.587
TC01,100,STANDARD,100,85.88016720854621,3.597
TC01,100,STANDARD,100,86.0062371441842,3.608
TC01,100,STANDARD,100,86.1422599694778,3.619
TC01,100,STANDARD,100,86.27496516488621,3.628
TC01,100,STANDARD,100,86.38112932121292,3.636
TC01,100,STANDARD,100,86.50056399708049,3.646
TC01,100,STANDARD,100,86.6365868223741,3.655
TC01,100,STANDARD,100,86.75270386835645,3.663
TC01,100,STANDARD,100,86.88209143387964,3.675
TC01,100,STANDARD,100,87.01811425917325,3.684
TC01,100,STANDARD,100,87.13091367527039,3.692
TC01,100,STANDARD,100,87.25366598102316,3.703
TC01,100,STANDARD,100,87.37973591666113,3.713
TC01,100,STANDARD,100,87.50580585229912,3.72
TC01,100,STANDARD,100,87.57215845000331,3.723
TC01,100,STANDARD,100,87.64182867759273,3.729
TC01,100,STANDARD,100,87.68827549598566,3.733
TC01,100,STANDARD,100,87.75462809368987,3.739
TC01,100,STANDARD,100,87.83093358104969,3.744
TC01,100,STANDARD,100,87.87738039944264,3.747
TC01,100,STANDARD,100,87.94041536726162,3.752
TC01,100,STANDARD,100,88.00013270519541,3.756
TC01,100,STANDARD,100,88.07975582244045,3.762
TC01,100,STANDARD,100,88.13615553048902,3.767
TC01,100,STANDARD,100,88.19919049830801,3.771
TC01,100,STANDARD,100,88.25227257647137,3.776
TC01,100,STANDARD,100,88.32194280406078,3.781
TC01,100,STANDARD,100,88.37834251210936,3.785
TC01,100,STANDARD,100,88.43805985004313,3.789
TC01,100,STANDARD,100,88.51104770751775,3.794
TC01,100,STANDARD,100,88.57408267533674,3.799
TC01,100,STANDARD,100,88.63711764315573,3.803
TC01,100,STANDARD,100,88.69019972131909,3.807
TC01,100,STANDARD,100,88.76982283856412,3.811
TC01,100,STANDARD,100,88.81295202707186,3.815
TC01,100,STANDARD,100,88.87930462477605,3.818
TC01,100,STANDARD,100,88.93902196270984,3.823
TC01,100,STANDARD,100,89.01532745006968,3.827
TC01,100,STANDARD,100,89.06509189834782,3.83
TC01,100,STANDARD,100,89.12812686616681,3.836
TC01,100,STANDARD,100,89.18784420410059,3.84
TC01,100,STANDARD,100,89.25087917191958,3.845
TC01,100,STANDARD,100,89.32386702939421,3.848
TC01,100,STANDARD,100,89.38026673744277,3.852
TC01,100,STANDARD,100,89.44661933514698,3.857
TC01,100,STANDARD,100,89.50965430296596,3.86
TC01,100,STANDARD,100,89.57600690067017,3.864
TC01,100,STANDARD,100,89.6257713489483,3.867
TC01,100,STANDARD,100,89.69212394665252,3.871
